,question,context,answers,lang,source_lang,score,pred_answer
0,Minä vuonna Valve Corporation on perustettu?,"Valve Corporation (ent. Valve Software) on Bellevuessa, Washingtonissa sijaitseva videopelien kehittämiseen ja digitaaliseen jakeluun erikoistunut yritys. Gabe Newell ja Mike Harrington perustivat Valve Corporationin (silloinen Valve Software) Kirklandissa, Washingtonissa vuonna 1996. Valven teki kuuluisaksi sen ensimmäinen julkaisu, ""Half-Life,"" vuonna 1998. ""Half-Lifen"" menestyksen jälkeen Valve ryhtyi kehittämään ""Team Fortress Classic"" -modia ""Half-Lifeen"". Valve auttoi myös itsenäisiä modien kehittäjiä ja on hankkinut joidenkin modien oikeudet itselleen. Valven nykyään omistamia, aiemmin itsenäisiä modeja ovat muun muassa ""Counter-Strike"" ja ""Day of Defeat"". Vuoden 2003 E3-messuilla Valve herätti huomiota esittelemällä materiaalia ""Half-Life 2:sta"", joka näytti olevan jo valmis. ""Half-Life 2"":n piti ilmestyä vuoden 2003 syksyllä.",['1996'],fi,fi,43.416504,1996
1,Tahun berapa Valve Corporation didirikan?,"Valve Corporation (dahulunya sebagai Valve Software, biasanya dirujuk sebagai Valve dan kadang-kadang digayakan sebagai VALVᴇ) ialah sebuah syarikat pembangunan permainan video dan pengedaran digital yang terletak di Bellevue, Washington, Amerika Syarikat. Pejabat yang berpangkalan di Eropah pula dibuka pada tahun 2012 di Luxembourg. Ia ditubuhkan pada tahun 1996 oleh bekas pekerja Microsoft Gabe Newell dan Mike Harrington, Valve membangunkan siri permainan video ""Half-Life"", ""Counter-Strike"", ""Portal"", ""Day of Defeat"", ""Team Fortress"", ""Left 4 Dead"" dan ""Dota"" yang telah mendapat pujian yang tinggi dan sangat terkenal. Mereka juga membangunkan dan mengekalkan enjin Source yang mana kebanyakan permainan yang mereka bina dijalan, ""Source",['1996'],id,fi,42.019764,1996
2,Vilket år grundades Valve Corporation?,"Valve Corporation (tidigare Valve Software) är en amerikansk utvecklare och distributör av datorspel. Företaget ligger i Bellevue, Washington, USA och grundades 1996 av Gabe Newell och Mike Harrington. Valve blev berömt av dess första produkt, ""Half-Life"", som släpptes i november 1998 och dess distributionsmjukvara ""Steam"". Valve grundades som ett Limited Liability Company den 24 augusti 1996 i Kirkland i Washington av de före detta Microsoftanställda Gabe Newell och Mike Harrington. Under utvecklingen av deras första spel, ""Half-Life"", finansierades företaget av grundarna själva. ""Half-Life"" blev en succé och i juni 1999, knappt sex månader efter att spelet släpptes påbörjades arbetet med",['1996 års möte i rådet (allmänna frågor och yttre förbindelser)'],sv,fi,41.53099,1996
3,Tahun berapa Valve Corporation didirikan?,"dan Left 4 Dead 2 dikeluarkan. Gabe Newell dan Mike Harrington mengasaskan Valve pada 24 Ogos 1996. Selepas mendapatkan lesen kepada enjin ""Quake"" (melalui bantuan kawan Michael Abrash dari id Software) pada tahun 1996, dan mereka mula memajukan ""Half-Life"". Asalnya dijangkakan untuk dikeluarkan pada tahun 1997, ""Half-Life"" dipasarkan pada 19 November, 1998. Valve membeli TF Software PTY Ltd. pada Mei 1998, pencipta mod ""Team Fortress"" untuk ""Quake"", dengan tujuan untuk mencipta permainan ""Team Fortress"" versi penuh. ""Team Fortress Classic"" merupakan versi ""Team Fortress"" asal bagi ""Quake"", yang dikeluarkan untuk ""Half-Life"" pada tahun 1999. ""Team Fortress 2"" yang dikeluarkan pada 10",['1996'],id,fi,41.00632,1996
4,¿En qué año se fundó Valve Corporation?,"VALVE Corporation es una empresa estadounidense desarrolladora de videojuegos. Se hizo mundialmente famosa por su primer juego, ""Half-Life"" y por una modificación de este, ""Counter-Strike"". Otro de sus logros más famosos es la creación del motor de videojuego Source, utilizado en gran parte de sus videojuegos, incluyendo ""Half-Life 2"", ""Portal"", ""Team Fortress 2"", Left 4 Dead, Left 4 Dead 2 y Dota 2. Las oficinas centrales de Valve Software se encuentran en Bellevue, Washington, Estados Unidos. VALVE fue fundada en 1996 por Gabe Newell y Mike Harrington. Ambos eran trabajadores del gigante informático Microsoft y habían trabajado en sus sistemas",['1996'],es,fi,40.7557,1996
5,Valve Corporation hangi yılda kuruldu?,"Valve Corporation (eskiden Valve Software); Bellevue, Washington merkezli, Ağustos 1996'da eski Microsoft çalışanları Gabe Newell ve Mike Harrington tarafından kurulan video oyunu geliştiricisi ve video oyunu yayımcısı şirket. Özellikle 1998 yılında geliştirdikleri birinci şahıs nişancı türündeki bilimkurgu-aksiyon oyunu ""Half-Life"" ile birçok video oyunu eleştirmeninden beğeniler almıştır. Geliştirdikleri bir diğer birinci şahıs nişancı türündeki aksiyon oyunu ""Counter-Strike"", dünya çapında en fazla kullanıcıya sahip birinci şahıs nişancı oyunu olarak bir fenomene dönüşmüştür. Valve Corporation, 1996 yılında eski Microsoft çalışanları Gabe Newell ve Mike Harrington tarafından kurulmuştur. Valve, Half-Life, Counter-Strike, Portal, Day of Defeat, Team Fortress, Left 4 Dead ve Dota 2 oyunlarını",['1996'],tr,fi,40.181942,1996
6,"В каком году была основана корпорация ""Валв""?","Valve Corporation (ранее Valve Software) — американская компания-разработчик компьютерных игр, создавшая серии компьютерных игр ""Half-Life"", ""Portal"", ""Counter-Strike"", ""Team Fortress"", ""Day of Defeat"", ""Left 4 Dead"", ""Ricochet"", ""Alien Swarm"", ""Dota 2"" и ""Artifact""; игровые движки GoldSrc, Source, Source 2; программное обеспечение: Steam, Valve Anti-Cheat, SteamOS, Steam Audio; а также аппаратное обеспечение: Steam Machines, Steam Controller. Основана 24 августа 1996 года бывшими сотрудниками Microsoft Гейбом Ньюэллом и Майком Харрингтоном. Штаб-квартира в городе Белвью, Вашингтон, США. После тринадцати лет работы в компании Microsoft Гейб Ньюэлл, совместно с Майком Харрингтоном, в 1996 году основывает компанию Valve Software, под попечительством Sierra Studios. Для упрощения была",['1996 год'],ru,fi,39.84338,1996
7,What year was Valve Corporation founded?,"Valve Corporation is an American video game developer, publisher and digital distribution company headquartered in Bellevue, Washington. It is the developer of the software distribution platform Steam and the ""Half-Life"", ""Counter-Strike"", ""Portal"", ""Day of Defeat"", ""Team Fortress"", ""Left 4 Dead"", and ""Dota 2"" games. Valve was founded in 1996 by former Microsoft employees Gabe Newell and Mike Harrington. Their debut product, the PC first-person shooter ""Half-Life"", was released in 1998 to critical acclaim and commercial success, after which Harrington left the company. In 2003, Valve launched Steam, which accounted for around half of digital PC game sales by 2011. By",['1996'],en,fi,39.07258,1996
8,Valve Corporation hangi yılda kuruldu?,"Valve Corporation, Bellevue, Washington merkezli, Ağustos 1996'da eski Microsoft çalışanı Gabe Newell ve Mike Harrington tarafından kurulan, video oyunu geliştiricisi ve video oyunu yayımcısı şirkettir. Tüm oyunları GoldSrc ve Source motorlarıyla geliştirilmiştir.",['1996'],tr,fi,37.799053,1996
9,What year was Valve Corporation founded?,"2012, Valve employed around 250 people and was reportedly worth over 3 billion, making it the most profitable company per employee in the United States. In 2015, Valve entered the game hardware market with the Steam Machine, a line of third-party built gaming PCs running Valve's SteamOS operating system. Valve was founded by former longtime Microsoft employees Gabe Newell and Mike Harrington on August 24, 1996, as Valve, L.L.C., based in Kirkland, Washington. Alternative names explored by Newell and Harrington include ""Fruitfly Ensemble"" and ""Rhino Scar"". Harrington left the company in 2000. In 2003, the company moved from its original",['1996'],en,fi,37.586098,"August 24, 1996"
