,question,context,answers,lang,source_lang,score,pred_answer
0,Mikä on Crash Bandicoot pelin päähahmo?,"mahdollisuuden tallentaa edistymisensä ja avaimen arvon verran pelin suoritus prosenttia. Tämän jälkeen ihan niin kuin Tawna bonustasoissa: Cortex bonuskierrokselle ei voi enää palata uudelleen. Tarinan päähenkilö ja pelattava hahmo on Crash Bandicoot, mutatoitu tasmanianjuovapussimäyrä, jonka täytyy pelastaa hänen tyttöystävänsä, Tawna. Päävastus on Tohtori Neo Cortex, hullu tiedemies, jonka tarkoituksena on vallata maailma hänen mutatoitujen eläimiensä avulla. Cortexin apulainen Tohtori Nitrus Brio on Evolvo-säteen keksijä joka nähdään usein sekoittelevan kemikaalejaan yhteen. Hän käyttää näitä aseenaan, kun hän kohtaa Crashin. Crashin ihastus on Tawna, naispuolinen pussimäyrä. Matkan aikana Crashia auttaa vanhan noitatohtorin henki, Aku Aku, joka on hajonnut maskiksi. Pomohenkilöinä pelissä toimii","['Crash Bandicoot', 'Crash Bandicoot', 'Crash Bandicoot', 'Crash Bandicoot ']",fi,fi,50.909935,Tawna
1,Mikä on Crash Bandicoot pelin päähahmo?,"Cortexin lisäksi Papu Papu, ylipainoinen ja huonotuulinen intiaaniheimon päällikkö; Ripper Roo, mielisairas mutanttikenguru; Koala kong, lihaksikas mutta tyhmä mutanttikoala ja Pinstripe Potoroo, Cortexin henkivartija joka käyttää konepistoolia. ""Crash Bandicoot"" sijoittuu kolmeen Kaakkois-Australiassa sijaitsevaan saareen, jotka omistaa hullu tiedemies Tohtori Neo Cortex. Cortexin apuna toimii hänen vanha ystävänsä Tohtori Nitrus Brio. N.Brio loi Evolvo-säteen, jolla he kehittävät mutantteja, joilla on mahtavat voimat. Yksi heidän kokeilustaan oli rauhaisa pussimäyrä Crash, jonka Cortex suunnitteli olevan mutanttiarmeijan johtaja. Kun koe aiottiin viimeistellä Cortex Vortex -laitteen avulla, jokin kuitenkin meni vikaan ja Crash pääsi karkuun hyppäämällä linnan ikkunasta ulos. Tämän seurauksena Cortex loi toisen Bandicootin,","['Crash Bandicoot', 'Crash Bandicoot', 'Crash Bandicoot', 'Crash Bandicoot ']",fi,fi,50.776077,Tohtori Neo Cortex
2,Mikä on Crash Bandicoot pelin päähahmo?,"asti, kunnes jäljelle jää yksi pelaaja. Kolme ja neljä pelaajaa voivat muodostaa 2 vs. 1-, 2 vs. 2-, 3 vs. 1- ja 1 vs. 1 vs. 2 -taisteluja. ""Crash Team Racing""issä on 15 pelattavaa hahmoa, joista kahdeksan on pelattavissa alusta lähtien. Crash Bandicoot, pelisarjan pääprotagonisti, on monipuolinen kilpailija tasapuolisilla kiihtyvyydellä, huippunopeudella ja kääntyvyydellä. Samanlaisilla ajo-ominaisuuksilla varustettu Tohtori Neo Cortex, Crashin arkkivihollinen ja hullu tiedemies, haluaa pysäyttää Nitros Oxiden valloittaakseen maailman itse. Crashin pikkusisko Coco Bandicoot on tietokonenero, joka asensi mikrosiruja autoonsa parannellakseen sen kiihtyvyyttä. Cocon tavoin autonsa kiihtyvyyttä lisäosin paranteli ilmailuinsinööri Tohtori N. Gin. Puran ja Polarin autot ovat hitaahkoja","['Crash Bandicoot', 'Crash Bandicoot', 'Crash Bandicoot', 'Crash Bandicoot ']",fi,fi,50.745163,Tohtori Neo Cortex
3,Mikä on Crash Bandicoot pelin päähahmo?,"Crash Bandicoot on tasohyppelypelisarja. Pelin päähahmo on Crash Bandicoot, jonka vastustaja on tohtori Neo Cortex. Crash Bandicoot on esiintynyt useammassa PlayStation-pelissä, joista ensimmäinen, ""Crash Bandicoot"" ilmestyi vuonna 1996. Peli myi pian yli miljoonan ja sai osakseen hyviä arvosteluja. Sen takia se sai pian jatko-osan """" vuonna 1997. Kun Crash-sarja oli ylittänyt viiden miljoonan myyntirajan, kehitettiin kolmas osa, """" vuonna 1998. Tämän jälkeen Crashin suosiota haluttiin hyödyntää myös ajopeleissä. ""Crash Team Racing"" ilmestyi vuonna 1999. Nämä kaikki pelit julkaistiin yksinoikeudella PlayStationille. Ennen siirtymistä PlayStation 2:lle ja muille konsoleille, julkaistiin PlayStationille vielä ""Crash Bash"", joka oli kokoelma helposti omaksuttavia minipelejä. Ensimmäinen PlayStation","['Crash Bandicoot', 'Crash Bandicoot', 'Crash Bandicoot', 'Crash Bandicoot ']",fi,fi,50.196026,Crash Bandicoot
4,Mikä on Crash Bandicoot pelin päähahmo?,"2:lle ilmestynyt Crash Bandicoot -peli oli vuonna 2001 julkaistu """", jossa Crash kohtaa ensimmäistä kertaa uuden vihollisensa (ja tulevan ystävän) Crunch Bandicootin, tohtori Neo Cortexin luoman kätyrin. ""Wrath of Cortexin"" jälkeen vuonna 2003 julkaistu ""Crash Nitro Kart"" oli ensimmäinen Crash Bandicoot -ajopeli PlayStation 2:lle. Vuonna 2004 julkaistiin ""Crash Twinsanity"". Pelin päävastustajana ei tällä kertaa olekaan Cortex, vaan ns. Pahat Kaksoset (""Evil Twins""). He aikovat käyttää niin sanottuja wumpa-hedelmiä ilkeän teknologiansa polttoaineena, joka tuhoaisi elämän Crashin kotisaaren lisäksi myös saaren lähellä olevilta kahdelta saarelta. Pysäyttääkseen kaksoset Crashin on liittouduttava Neo Cortexin kanssa. Crash ja Cortex usein myös tappelevat keskenään. Pelattavissa ovat","['Crash Bandicoot', 'Crash Bandicoot', 'Crash Bandicoot', 'Crash Bandicoot ']",fi,fi,50.190758,Pahat Kaksoset
5,Mikä on Crash Bandicoot pelin päähahmo?,"Tämä on luettelo ""Crash Bandicoot"" -peleissä esiintyvistä hahmoista. Crash Bandicoot on sinisiin, farkkujen näköisiin housuihin sonnustautunut oranssi pussimäyrä, joka kävelee kahdella jalalla. Tohtori Neo Cortex loi hänet johtamaan luomaansa mutanttiarmeijaa. Crash kuitenkin pakeni ja päätti estää Cortexin suunnitelmat maailmanvalloittamisesta. Crash on pelisarjan päähenkilö. Coco Bandicoot on Crashin pikkusisko, joka yleensä toimii Crashin ”tiimin” mekaniikkanerona. Coco esiintyi ensimmäisen kerran pelissä """" Aku Aku on Crashin porukan jäseniä suojeleva muinainen poppamies, joka liikkuu ja puhuu naamion kautta muille hahmoille. Crunch Bandicoot on tohtori Neo Cortexin luoma uusi versio Crashista, jonka tämä loi tuhoamaan Crashin. Kuitenkin hän liittyi Crashin porukkaan sen jälkeen kun","['Crash Bandicoot', 'Crash Bandicoot', 'Crash Bandicoot', 'Crash Bandicoot ']",fi,fi,50.13031,Coco Bandicoot
6,Mikä on Crash Bandicoot pelin päähahmo?,"Crash Bandicoot on vuonna 1996 PlayStationille julkaistu ""Crash Bandicoot"" -pelisarjan ensimmäinen peli. Pelissä pitää edetä saarelta saarelle ratoja pitkin. Pelin lajityyppi on tasohyppely. Kun on selvittänyt tietyn määrän tasoja, pitää voittaa loppuvastus. Peli alkaa siitä, kun Crashin arkivihollinen, Tohtori Neo Cortex ja Tohtori Nitrus Brio yrittävät tehdä Crashistä Cortexin mutanttiarmeijan kenraalia. Crash pääsee kuitenkin karkaamaan laboratoriosta, mutta hänen tyttöystävänsä Tawna jää vangiksi. Crash yrittää tehdä lopun Cortexin ilkeistä suunnitelmista valloittaa maailma ja päättää samalla pelastaa Tawnan. Pelin ensimmäisellä tasolla (N. Sanity Beach) Crash löytyy makaamasta mahallaan rantahietikossa. ""Crash Bandicoot"" sai kriitikoilta hyvän vastaanoton. Nykyisin se lukeutuu PlayStationin ostetuimpiin peleihin. ""Crash","['Crash Bandicoot', 'Crash Bandicoot', 'Crash Bandicoot', 'Crash Bandicoot ']",fi,fi,49.48345,Tohtori Neo Cortex ja Tohtori Nitrus Brio
7,¿Cuál es el personaje principal del juego Crash Bandicoot?,"Crash Bandicoot es el personaje principal y el protagonista principal de la serie de videojuegos Crash Bandicoot. Fue introducido en el videojuego del año 1996 Crash, Crash es un bandicut oriental que fue mejorado genéticamente por el principal antagonista de la serie, el Doctor Neo Cortex, y luego escapó del castillo de Cortex después de un experimento fallido en el ""Cortex Vortex"". A lo largo de la serie, Crash actúa como la principal oposición contra Cortex y sus malvados planes para la dominación mundial. Si bien Crash tiene varias maniobras defensivas a su disposición, su técnica más distintiva es aquella","['Crash Bandicoot', 'Crash Bandicoot', 'Crash Bandicoot', 'Crash Bandicoot']",es,fi,48.353355,Crash Bandicoot
8,Vad är huvudpersonen i Crash Bandicoot spelet?,"""Wumpa-öarna""). Han kämpar nästan alltid mot sin fiende, den galne vetenskapsmannen Doctor Neo Cortex som skapade honom i syfte att leda Cortexs mutantarméer, för att få lugn och ro. Crash har en syster som heter Coco Bandicoot, en kompis som heter Crunch Bandicoot och en fadersfigur som heter Aku Aku. Crash Bandicoot förekommer i följande spel:","['Kraschbandicoot', 'Kraschbandicoot', 'Kraschbandicoot', 'Kraschbandicoot']",sv,fi,47.502678,Crash
9,Mikä on Crash Bandicoot pelin päähahmo?,"Crash Bandicoot on videopelihahmo, joka seikkailee ""Crash Bandicoot"" -pelisarjassa. Hahmon kehitti aikoinaan suurtuotantoyhtiö Universalille yhtiö nimeltä Naughty Dog, jossa sen julkisiksi kehittäjiksi on kerrottu Scott Patterson ja Mike Gasaway. Hahmon kehittäminen aloitettiin jo vuonna 1994. Naughty Dogin siirtyessä kehittämään ""Jak and Daxter"" -pelisarjaansa vuoden 1999 jälkeen Crash siirtyi muiden kehittäjien käsiin. Nykyään Crashiä kehittää Radical Entertainment. Crash Bandicoot on sinisiin, farkkujen näköisiin housuihin sonnustautunut oranssi pussimäyrä, joka kävelee kahdella jalalla. Crashin erityisominaisuuksiin kuuluu kyky pyöriä nopeasti ja satuttaa tällä tavoin vihollisiaan. Lisäksi Crash on hyvä hyppimään ja pystyy tuhoamaan useita vihollisiaan hyppäämällä niiden päälle. Alusta asti Crashin apurina on toiminut","['Crash Bandicoot', 'Crash Bandicoot', 'Crash Bandicoot', 'Crash Bandicoot ']",fi,fi,47.13562,oranssi pussimäyrä
