,question,context,answers,lang,source_lang,score,pred_answer
0,Milloin SI-järjestelmä kehitetty?,"erilaisia alkuperäisen metrijärjestelmän laajennuksia. Järjestelmään tehtiin myöhemmin vielä lisäyksiä. Käyttöön on tullut uusia suureita yksikköineen, ja myös kerrannaisyksiköitä etuliitteineen on vahvistettu lisää. Vuonna 1960 kansainvälinen kongressi vahvisti näin laajennetulle mittajärjestelmälle nimen SI-järjestelmä.",['1960'],fi,fi,49.779053,1960
1,Milloin SI-järjestelmä kehitetty?,"Kansainvälinen yksikkö­järjestelmä (myös ""kansainvälinen mittayksikkö­järjestelmä"") eli SI-järjestelmä () on maailman yleisin mittayksikkö­­järjestelmä. SI-järjestelmä sai nykyisen nimensä vuonna 1960, mutta keskeisimmiltä osiltaan se perustuu Ranskassa jo 1700-luvun lopulla käyttöön otettuun metrijärjestelmään. Jos nykyään puhutaan metrijärjestelmästä, silläkin käytännössä yleensä tarkoitetaan SI-järjestelmää. SI-järjestelmästä päätetään Kansain­välisen paino- ja mittatoimiston (, BIPM) järjestämissä konferensseissa (CGPM). Suomessa SI-järjestelmän toteutuksesta vastaa Mittatekniikan keskus. SI-järjestelmän mittayksiköitä voi käyttää maailmanlaajuisesti, ja useissa maissa lainsäädäntö määrää niiden käytön. Toisaalta joissain yhteyksissä saatetaan yhä suosia muita mittayksiköitä: esimerkiksi moottorien tehot ilmoitetaan usein hevosvoimina, ja jopa Suomen aluevesiraja on määritetty meripeninkulmina. Myös ilmailussa korkeus ilmaistaan jalkoina ja nopeus solmuina. Britanniassa puolestaan on",['1960'],fi,fi,46.237976,1960
2,Milloin SI-järjestelmä kehitetty?,"periaatteessa sama kuin Giorgin ehdottama. Myöhemmin vahvistettiin perusyksiköiksi myös lämpötilan yksikkö kelvin ja valovoiman yksikkö kandela, ja näillä täydennetty mittajärjestelmä sai vuonna 1960 nimen SI-järjestelmä.",['1960'],fi,fi,44.074783,1960
3,Kapan sistem SI dikembangkan?,"Sistem Unit Antarabangsa atau Unit SI (SI dipendekkan dari nama bahasa Perancis, ""Système international d'unités"") merupakan sejenis sistem metrik. Ia adalah sistem unit yang digunakan oleh semua orang di dunia dalam sains dan perdagangan. Pada 1960, SI diambil dari sistem MKS, iaitu panjang (meter), jisim (kilogram), dan masa (saat). Dalam sistem SI terdapat 7 unit asas SI dan 2 unit tanpa dimensi, serta beberapa unit terbitan. Selain itu, terdapat juga awalan-awalan yang boleh digabungkan dengan unit-unit tersebut untuk penggandaan atau pembahagian unit-unit yang ada. Sistem SI diselenggarakan oleh 3 badan, iaitu Biro Timbang dan Ukur Antarabangsa (BIPM), Persidangan Am Timbang",['1960'],id,fi,43.53969,1960
4,¿Cuándo se desarrolló el sistema SI?,"resolver estos problemas fue identificada por Giorgi en 1901. El estándar del SI que fue publicado en 1960 definió un sistema único y coherente basado en seis unidades. En 1832, Carl-Friedrich Gauss hizo las primeras mediciones absolutas del campo magnético de la Tierra usando un sistema decimal basado en el uso del milímetro, miligramo, y el segundo como la unidad básica de tiempo. En su documento, también presentó sus resultados usando el centímetro y el gramo en lugar de milímetro y miligramo, utilizando también la línea de París y la libra de Berlín en lugar del milímetro y el miligramo.",['1960'],es,fi,43.406437,1960
5,Milloin SI-järjestelmä kehitetty?,"kansain­välinen mitta- ja paino­konferenssi vahvisti ampeerin ohella myös kelvinin ja kandelan perusyksiköiksi. Nimi SI-järjestelmä otettiin käyttöön vuonna 1960. Erona cgs- ja SI-järjestelmien välillä on mekaniikan yksiköissä pelkkä vakiokerroin, joka on kymmenen potenssi. Sen sijaan sähköopin yksiköissä ero on suuri. Cgs-järjestelmässä voidaan määritellä joko sähköstaattiset tai sähkömagneettiset yksiköt. Sähköstaattisissa yksiköissä tyhjiön permittiivisyys on 1, kun taas sähkömagneettisissa yksiköissä tämä arvo annetaan tyhjiön permeabiliteetille. Monet sähkömagneettiset yksiköt kuitenkin erotti ampeeriin perustuvista SI-yksiköistä niin ikään vain vakiokerroin, joka oli kymmenen potenssi, kun taas sähköstaattiset yksiköt poikkesivat niistä täysin. Vaikka järjestelmä oli nykyistä monimutkaisempi, useat sähköopin kaavat saivat cgs-järjestelmässä yksinkertaisemman muodon kuin MKSA- ja",['1960'],fi,fi,43.251694,1960
6,När utvecklades SI-systemet?,"Internationella måttenhetssystemet eller SI från franskans ""Système International d'Unités"" (ofta ses även den tautologiska sammansättningen SI-systemet), är en internationell standard för måttenheter och prefix. Måttsystemet bygger på ett antal grundenheter som är noggrant definierade. Ett stort antal andra enheter härleds sedan från grund-enheterna. SI har utvecklats ur metersystemet via MKSA-systemet (i konkurrens med cgs-systemet) och fick det nuvarande namnet 1960, då det innefattade 6 grundstorheter och ett flertal härledda storheter. En sjunde grundstorhet, ""substansmängd"" (med enheten mol), tillkom på 1970-talet. Metersystemet utformades av en grupp forskare. Bland dem fanns Antoine Laurent de Lavoisier, som är känd som ""den moderna kemins",['1960 Ordförande'],sv,fi,43.103214,1960
7,Kapan sistem SI dikembangkan?,"1790-an. Awalan metrik juga telah disediakan untuk unit bukan metrik. Awalan SI diseragamkan untuk digunakan dalam Sistem Unit Antarabangsa (SI) oleh Biro Timbang dan Ukur Antarabangsa (BIPM) dalam resolusi yang bertarikh dari 1960 hingga 1991. Sejak 2009, mereka telah menjadi sebahagian daripada Sistem Kuantiti Antarabangsa. BIPM menentukan dua puluh awalan untuk Sistem Unit Antarabangsa (SI).",['1960'],id,fi,42.87558,1960
8,När utvecklades SI-systemet?,"MKSA är ett enhetssystem som bygger på storheterna meter, kilogram, sekund och ampere. Systemet uppstod 1939 då ampere lades till mks-enheterna. Systemet var grundläggande för Internationella måttenhetssystemet (SI), som introducerades 1960.",['1960 Ordförande'],sv,fi,41.9936,1960
9,Milloin SI-järjestelmä kehitetty?,"vuonna 1901 AEI:lle (Associazione Elttrotecnica Italiana) uutta järjestelmää, jossa perus­yksikköinä olivat metrin, kilogramman ja sekunnin lisäksi jonkin sähkö­suureen yksikkö, joko sähkövirran yksikkö ampeeri tai resistanssin yksikkö ohmi. Täten hänen ehdotuksensa yhdisti metrijärjestelmän ja jo tuolloin käytössä olleet ns. ""käytännölliset sähköyksiköt"". Vuonna 1935 kansainvälinen sähkötekninen komissio IEC otti käyttöön tämän ""Giorgin järjestelmän"", joka tunnettiin myös MKSΩ-järjestelmänä, koska neljäntenä perusyksikkönä oli resistanssin yksikkö ohmi (Ω). Vuonna 1960 yhdestoista kansainvälinen mittojen ja painojen konferenssi vahvisti käyttöön SI-järjestelmän, jossa on seitsemän perusyksikköä: metri, kilogramma, sekunti, ampeeri, kelvin, mooli ja kandela. Giorgi kuoli Castigilioncellossa Livornossa.",['1960'],fi,fi,41.130188,1960
