,question,context,answers,lang,source_lang,score,pred_answer
0,Mikä oli ensimmäisen Power Rangers elokuvan nimi?,"Power Rangers () on vuonna 1995 ensi-iltansa saanut yhdysvaltalainen elokuva, joka perustuu televisiosarjaan ""Mighty Morphin Power Rangers"". Elokuvan ohjasi Bryan Spicer ja käsikirjoituksesta vastasivat John Kamps ja Arne Olsen. Pääosassa esiintyivät samat näyttelijät, jotka esiintyivät televisiosarjassa Karan Ashley, Johnny Yong Bosch, Steve Cardenas, Jason David Frank, Amy Jo Johnson ja David Yost. Elokuva tuotti maailmanlaajuisesti yli 66 miljoonaa dollaria, josta Yhdysvalloissa saatu osuus oli hieman yli 38 miljoonaa dollaria. Se oli elokuvan budjettiin nähden menestys. Lisäksi se oli ehdolla Young Artist -palkinnon voittajaksi, kun Steve Cardenas oli ehdolla parhaaksi nuoreksi näyttelijäksi sivuroolissa. Palkinto meni lopulta Jonathan Hernandezille elovassa Siirtolaiset. Kuusi",['Power Rangers'],fi,fi,44.296974,Power Rangers
1,Mikä oli ensimmäisen Power Rangers elokuvan nimi?,"Toinen elokuva valmistui vuonna 1997. Elokuvan nimi oli ""Power Rangers turbovaihteella"", joka ei menestynyt kovinkaan hyvin. Erityisesti kritiikin kohteeksi joutui sarjalle ominaisen toiminnan puuttuminen lähes kokonaan. Elokuva tuotti maailmanlaajuisesti yli 9 miljoonaa dollaria, mikä oli huomattavasti vähemmän kuin edellisen elokuvan tuotto. Elokuva sai kuitenkin edellisen elokuvan tavoin Young Artist -ehdokkuuden, kun Blake Foster oli ehdolla parhaana nuorena pääosanesittäjänä. Molemmat elokuvat julkaisi 20th Century Fox yhdessä Saban Entertainmentin kanssa. Vuonna 2015 Lionsgate ilmoitti uuden ""Power Rangers"" -elokuvan olevan suunnitteilla vuodeksi 2017. Se tulee olemaan uudelleenkäynnistys sarjalle, eikä jatkoa aikaisemmille elokuville. Kimberly Hartin rooliin valittiin Naomi Scott. Power Morphicon oli ensimmäinen Power",['Power Rangers'],fi,fi,42.738976,Power Rangers turbovaihteella
2,Mikä oli ensimmäisen Power Rangers elokuvan nimi?,"ryhmänä, joista useimmiten punaista asua pitävä henkilö on johtaja. Yleisimpiä rangereiden värejä ovat punainen, keltainen, sininen, vaaleanpunainen, vihreä, musta ja valkoinen. Myös rangereiden sankarinimet määräytyvät heidän pitämiensä asujen värien perusteella. Asut muistuttavat toisiaan ja yleensä ainoastaan niiden väritys, kypärän muoto ja visiiri poikkeavat toisistaan. Vuonna 1995 valmistui ensimmäinen Power Rangers -elokuva, joka perustui ensimmäiseen Power Rangers sarjaan. Elokuva oli varsin tuottoisa 15 miljoonan dollarin budjettiin nähden. Se keräsi maailmanlaajuisesti yli 66 miljoonaa dollaria, josta Yhdysvalloissa saatu osuus oli hieman yli 38 miljoonaa dollaria. Elokuva oli myös ehdolla Young Artist -palkinnon voittajaksi, kun Steve Cardenas oli ehdolla parhaaksi nuoreksi näyttelijäksi sivuroolissa.",['Power Rangers'],fi,fi,41.446762,Power Rangers
3,Mikä oli ensimmäisen Power Rangers elokuvan nimi?,"-yhtiö teki aiheeseen liittyviä televisiosarjoja vuosina 1993–2001. Mighty Morphin Power Rangers oli niistä ensimmäinen Power Rangers -sarja. Se perustui 16. Super sentai -sarjaan Kyoryū sentai Zyuranger. Vuodesta 2002 vuoteen 2009 sarjan tuottamisesta vastasi Disney-yhtiö, joka osti FOXin perhepaketin ja sen seurauksena Fox Family -kanavasta tuli ABC Family. Samassa ostossa myös Foxin omistuksessa ollut Haim Sabanin yhtiö Saban Entertainment siirtyi Disneyn omistukseen ja nimeksi vaihdettiin BVS Entertainment, joka jatkoi Power Rangers -sarjojen tuottamista. Se aloitti sarjojen tekemisen vuonna 2002 sarjalla Power Rangers Wild Force. Se perustuu edellisten sarjojen tavoin japanilaiseen tokusatsu-formaattiin Super Sentai, ja on tiiviisti kytköksissä japanilaisiin oheistuotteisiin, kuten leluihin",['Power Rangers'],fi,fi,41.363983,Mighty Morphin Power Rangers
4,Mikä oli ensimmäisen Power Rangers elokuvan nimi?,"Power Rangers (mainostettu nimellä Saban’s Power Rangers) on vuonna 2017 ensi-iltansa saanut yhdysvaltalainen supersankarielokuva, jonka ohjasi Dean Israelite ja käsikirjoitti John Gatins. Elokuva perustuu samannimiseen tuoteryhmään ja sen pääosissa ovat Dacre Montgomery, Naomi Scott, RJ Cyler, Becky G, Ludi Lin, Bill Hader, Bryan Cranston ja Elizabeth Banks. Elokuva toimii uudelleenkäynnistyksenä alkuperäisille televisiosarjoille ja elokuville. Se on myös ensimmäinen 21. vuosisadalla tehty Power Rangers -elokuva. Elokuva sai ensi-iltansa Yhdysvalloissa 24. maaliskuuta 2017 ja Suomessa 7. huhtikuuta 2017. Kenotsooisella maailmankaudella kuusi Power Rangeria, planeettojen välistä soturia, suojelevat Maan elämää ja zeokristallia. Vihreä Ranger, Rita Repulsa, kuitenkin pettää muut ja aikoo hallita koko",['Power Rangers'],fi,fi,41.283913,Saban’s Power Rangers
5,Vad hette den första Power Rangers filmen?,"Mighty Morphin Power Rangers: Filmen (också känd som Power Rangers: The movie) är en amerikansk superhjälte-, action-, fantasy-film från 1995 baserad på tv-serien ""Mighty Morphin Power Rangers"" på barnkanalen Fox Kids. Huvudlåten i filmen är inspelad av den amerikanska gitarristen Buckethead.",['Strömväktare'],sv,fi,41.15412,Mighty Morphin Power Rangers: The movie
6,Apa nama film Power Rangers pertama?,"Power Rangers ialah siri program televisyen kanak-kanak Amerika terpanjang yang diadaptasi daripada siri bergenre tokusatsu Jepun, iaitu siri Super Sentai. Ia bukan sekadar alih suara bahasa Inggeris, tetapi juga merupakan produksi 'baru' dengan dibintangi barisan pelakon Amerika diselitkan dengan rakaman sebenar dari Jepun dalam beberapa babak. Disebabkan kebanyakan siri ""Super Sentai"" menampilkan imej Jepun, program buatan Amerika ini disesuaikan untuk penonton Barat; walau bagaimanapun, kebanyakan babak yang menampilkan watak berkostum dan robot (atau ""Zords"" dalam versi Inggeris) dialih suarakan. Siri pertama yang memulakan francais Power Rangers ialah Mighty Morphin Power Rangers, mula ditayangkan sebagai sebahagian daripada rancangan-rancangan siaran saluran Fox.",['Power Rangers'],id,fi,39.26967,Mighty Morphin Power Rangers
7,Mikä oli ensimmäisen Power Rangers elokuvan nimi?,"Power Rangers on pitkään jatkunut yhdysvaltalainen lasten supersankaritelevisiosarja, joka perustuu japanilaisen tokusatsuformaatin Super Sentai -sarjoihin. Power Rangers -sarjan on luonut Haim Saban, joka sai idean sarjan luomiseen vieraillessaan Japanissa. Hänen ideanaan oli yhdistää japanilaista kuvamateriaalia englannikielisten näyttelijöiden kanssa tehtyihin kuvauksiin. Japanilaista kuvamateriaalia käytetään Power Rangereiden taistellessa zordeillaan sekä myös useimmiten heidän taistellessa rangerasuissaan hirviöitä vastaan. Myös sarjojen juonta on muokattu sopivammaksi länsimaisille katsojille ja välillä on luotu myös täysin japanilaisesta sarjasta poikkeava juoni. Saban yritti myydä ideaansa noin yhdeksän vuoden ajan kunnes vuonna 1992 Fox Kidsin silloinen puheenjohtaja Margaret Loesch suostui esittämään sarjaa kanavallaan. Sittemmin Haim Sabanin omistama Saban Entertainment",['Power Rangers'],fi,fi,39.221703,Power Rangers
8,İlk Power Rangers filminin adı nedir?,"Power Rangers (aynı zamanda Saban'ın Power Rangers'ı olarak da pazarlanmaktadır), Dean Israelte tarafından yönetilen ve John Gatins tarafından yazılan, aynı isimli seriden uyarlanan 2017 Amerikan süper kahraman filmidir. ""Power Rangers"" film serisinin üçüncü bölümüdür ve yeniden başlatmadır. ""Power Rangers'ın"" birden fazla devam filmi olan bir film serisi başlatması planlanmıştı, ancak ticari başarısızlık nedeniyle tüm planlar iptal edildi ve Saban'ın franchise haklarını Hasbro'ya satmasına neden oldu. Paramount Pictures'da başka bir yeniden başlatma geliştirme aşamasındadır. Çekimler başlangıçta Ocak 2016'da başlayacaktı, ancak yeniden planlandı ve 29 Şubat'ta Vancouver'da başladı. 28 Mayıs 2016'da çekimler tamamlandı. Ek çekimler ise Ekim 2016'da gerçekleşti. Bir oyuncu, filmin",['Güç Rangers'],tr,fi,39.12428,Power Rangers
9,Mikä oli ensimmäisen Power Rangers elokuvan nimi?,"Mighty Morphin Power Rangers The Movie: Original Motion Picture Score on vuoden 1995 ""Power Rangers"" elokuvan musiikkialbumi, jonka sävelsi Graeme Revell. Sen julkaisi Fox Records 26. syyskuuta 1995.",['Power Rangers'],fi,fi,39.029106,Mighty Morphin Power Rangers The Movie: Original Motion Picture Score
